@relation PartTreinamento_ConcluidoDesertou

@attribute Sexo numeric
@attribute Idade numeric
@attribute ZonaMoradia_ZONARESIDENCIAL numeric
@attribute ZonaMoradia_ASENTAMIENTOHUMANO numeric
@attribute ZonaMoradia_URBANIZACION numeric
@attribute ZonaMoradia_CASCOURBANO numeric
@attribute ZonaMoradia_PUEBLOJOVEN numeric
@attribute ZonaMoradia_OTROS numeric
@attribute ZonaMoradia_ZONARURAL numeric
@attribute Trabalha numeric
@attribute EstadoCivil_SOLTERO numeric
@attribute EstadoCivil_CASADO numeric
@attribute EstadoCivil_DIVORCIADO numeric
@attribute EstadoCivil_DESCONOCIDO numeric
@attribute EstadoCivil_SEPARADO numeric
@attribute EstadoCivil_CONVIVIENTE numeric
@attribute EstadoCivil_VIUDO numeric
@attribute Escola numeric
@attribute Religiao_CRISTIANOCATOLICO numeric
@attribute Religiao_OTRARELIGION numeric
@attribute Religiao_CRISTIANOEVANGELICO numeric
@attribute Religiao_AGNOSTICO numeric
@attribute CursoGraduacao numeric
@attribute Modalidade numeric
@attribute PeriodoIngreso numeric
@attribute NotaExameAdmissao numeric
@attribute TotalNiveisCurso numeric
@attribute TotalCreditosCurso numeric
@attribute TotalNiveisCursados numeric
@attribute PorcentagemNC numeric
@attribute TotalCreditosCursados numeric
@attribute PorcentagemCC numeric
@attribute PeriodoUltimaMatricula numeric
@attribute UltimoNivelEstudado numeric
@attribute PromedioUltimoPeriodo numeric
@attribute Class {CONCLUIDO,DESERTOU}

@data
0,0.186441,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0.112222,0.5,0,0,0.75,0.753425,0.794355,0.794434,0.557778,0.545455,0.101678,DESERTOU
1,0.372881,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.242424,0,0.113333,0,0,0,0.583333,0.589041,0.596774,0.596929,0.446667,0.818182,0.704626,CONCLUIDO
0,0.237288,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,1,0.113333,0.16,0,0,0.583333,0.589041,0.754032,0.754127,0.557778,0.090909,0.769192,CONCLUIDO
0,0.254237,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.060606,0,0.112222,0.08,0,0,0.333333,0.342466,0.375,0.37524,0.224444,0.636364,0.584647,CONCLUIDO
0,0.254237,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0.151515,0,0.112222,0.08,1,1,0.333333,0.273973,0.375,0.31142,0.224444,0.636364,0.584647,DESERTOU
1,0.423729,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.001111,0,0,0,0.583333,0.589041,0.616935,0.617083,0.334444,0.818182,0.654804,CONCLUIDO
1,0.661017,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.666667,0,0.001111,0,0,0,0.75,0.753425,0.903226,0.903263,0.335556,0.818182,0.765633,CONCLUIDO
1,0.254237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0,0.02,0,0,0.833333,0.835616,0.955645,0.955662,0.445556,0.545455,0.206914,DESERTOU
1,0.254237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.30303,0,0,0.02,0,0,0.833333,0.835616,0.955645,0.955662,0.445556,0.545455,0.206914,CONCLUIDO
1,0.254237,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.060606,0,0,0.24,0,0,0.833333,0.835616,0.955645,0.955662,0.445556,0.545455,0.206914,DESERTOU
